ID,Código,Documento,Departamento,Ruta SG chat,Formato,Revisión anterior,Revisión nueva propuesta,Fecha actualización,Estado,Cambio realizado,Responsable,Aprobador,SHA-256
63,RD-001,RD-001_C_Revision_por_la_Direccion_RUEDAS_2023.docx,General,General/Direccion/RD-001_C_Revision_por_la_Direccion_RUEDAS_2023.docx,docx,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,f35543b45d9139c378ff400ace8ddaaaeb79719e971ff93ce1f2e4bb98d761d2
64,RD-001,RD-001__Revision_por_la_Direccion_2023.docx,General,General/Direccion/RD-001__Revision_por_la_Direccion_2023.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,68b0cd7bf847f1e4b00a08dbacf9cbd27051813d59388556f126791ecec7796a
65,FG-02,FG-02_A._Diagrama_tortuga_recepción.xlsx,General,General/Formularios/FG-02_A._Diagrama_tortuga_recepción.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,0bc0b38aadc29278adf873b5616df1cc505eb8c8916a56be74b0ed78d16eaf88
66,FG-04,FG-04.G_Maestro_de_Documentos-DADA.xlsx,General,General/Formularios/FG-04.G_Maestro_de_Documentos-DADA.xlsx,xlsx,G,H,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,0c4e2f99ee39723f2f8624aaf83d4322212cdc29300218878671c2c1e654f906
67,FG-06,FG-06 B. Matriz_de_objetivos_completada.xlsx,General,General/Formularios/FG-06 B. Matriz_de_objetivos_completada.xlsx,xlsx,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,3f22234970729b9bdefaa36936b5909b0b3a46572e442f84081a4c1b640450b3
68,FG-07,FG-07 C Contexto_y_partes_interesadas_con_organismos.xlsx,General,General/Formularios/FG-07 C Contexto_y_partes_interesadas_con_organismos.xlsx,xlsx,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,22000d59853269e17bc5e7ff9201c88af90d923d8bddeb15ca72299a4bc5703f
69,FG-10,FG-10_A._Calificacion_de_auditores.xlsx,General,General/Formularios/FG-10_A._Calificacion_de_auditores.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,4de03ac36385a9f5d0752aa31a216d5d120150a8df3b29048a614e53e27a3891
70,FORMATO,Formato_03_SL_VDA_6_(Autoguardado).xlsm,General,General/Formularios/Formato_03_SL_VDA_6_(Autoguardado).xlsm,xlsm,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,f6f7ebd25cd03643d717ad1d5026b3661187db9065d3802b9ee7d86c13dbb2d9
71,IDR-001,IDR-001_Satisfacción_al_Cliente_D.doc,General,General/IDR-001_Satisfacción_al_Cliente_D.doc,doc,D,E,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,85e9b4e5e5d1b17a0386d7d7698cb5f0e7b43b21733bf2b8df1d56f9a65b2851
72,PG-01,PG-01_B_-_Procedimiento_Reclamos_de_cliente.docx,General,General/Instrutivos/PG-01_B_-_Procedimiento_Reclamos_de_cliente.docx,docx,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,7f89022e4a222bff1c35cbd6a12e483fd89f2bdf7b9b95155dabb167dffccb63
73,PG-02,PG-02_A_Procedimiento_general_para_abordar_riesgos.docx,General,General/Instrutivos/PG-02_A_Procedimiento_general_para_abordar_riesgos.docx,docx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,97f06485e36382ba1ab9d1fefbeffa3347dffbdb674d146e5b323d6e120d079a
74,PG-02,PG-02_B_-_Procedimiento_general_para_abordar_riesgos.docx,General,General/Instrutivos/PG-02_B_-_Procedimiento_general_para_abordar_riesgos.docx,docx,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,a440a420de2cac4ace3f0ef13967fd450b0ebd99cb779fcadf4c76e3c9421716
75,PG-08,PG-08_C_Seguridad_en_el_uso_de_autoelevadores_y_apiladoras.doc,General,General/Instrutivos/PG-08_C_Seguridad_en_el_uso_de_autoelevadores_y_apiladoras.doc,doc,C,D,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,9baeb5b1ebac6ebc39e2085b6eecc25df19880f99f8979f3b085afffffeb077e
76,PG-13,PG-13_Mejora_continua.doc,General,General/Instrutivos/PG-13_Mejora_continua.doc,doc,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,dc466c57a61f1acd067acca1b6d27f37d7885fd38c5835c75be8031eea9da43c
77,PG-14,PG-14_B_Procedimiento_de_revisión_por_la_alta_dirección.doc,General,General/Instrutivos/PG-14_B_Procedimiento_de_revisión_por_la_alta_dirección.doc,doc,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,bac968e78f755f27b78d0c6d88d22b6d1b7a17bf5f3d2300f98a662cde0d7681
78,PG-15,PG-15_A_actividades_de_calidad.xlsx,General,General/Instrutivos/PG-15_A_actividades_de_calidad.xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,57a9293e6a0dfd8ead25e76c36ae5c30702bf7ee75e784a8167c291f695e0122
79,MC-01,MC-01_H_Manual_de_Calidad_DADA.docx,General,General/Manuales/MC-01_H_Manual_de_Calidad_DADA.docx,docx,H,I,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,b6ab03ed98b551e59d40403f2bbed19f101d9656f7afc7efab7c93ccf950e19e
80,,4.1 FODA ISO 39001.xlsx,ISO39001,ISO39001/Punto 4 - Contexto y Alcance/4.1 FODA ISO 39001.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,ace1a8632f0c65842c204939610c03b5f9dcb6d31a62715215a5b1e051e74e91
81,,4.2 Mapa de partes interesadas y sus necesidades.xlsx,ISO39001,ISO39001/Punto 4 - Contexto y Alcance/4.2 Mapa de partes interesadas y sus necesidades.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,4da309dc8c5290578395e24647c79a7c21a3a33409302e5e9e548464e4816fa3
82,,4.3 Alcance SGSV ISO39001.docx,ISO39001,ISO39001/Punto 4 - Contexto y Alcance/4.3 Alcance SGSV ISO39001.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,a01715bbbe2b460f02bd34a9b407d75fd4d2ebb1ec4625f9e53fdcc1305b0f1b
83,,4.4 Sistema Gestion SGSV ISO39001.docx,ISO39001,ISO39001/Punto 4 - Contexto y Alcance/4.4 Sistema Gestion SGSV ISO39001.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,8bfa4d30490d5e0267c1a1c19beaefc7f2e31988e400108d79e1ee14899878b9
84,,5.3 Roles Responsabilidades SGSV ISO39001.docx,ISO39001,ISO39001/Punto 5 - Liderazgo/5.3 Roles Responsabilidades SGSV ISO39001.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,a64fb42a8c62e52e56a1418b9865437d05c1018bc34412c6e57f97caf697b445
85,,6.1 Registro de riesgos y oportunidades SGSV ISO39001.docx,ISO39001,ISO39001/Punto 6 - Planificación/6.1 Registro de riesgos y oportunidades SGSV ISO39001.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,dcd8f5c001db4f49671d252cfca47b42413d650421f0054f3ff0e015f4c6f266
86,,6.2 Objetivos de seguridad vial y planificación para lograrlos SGSV ISO39001.docx,ISO39001,ISO39001/Punto 6 - Planificación/6.2 Objetivos de seguridad vial y planificación para lograrlos SGSV ISO39001.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,93735f962e097dcfbdbb0d6bd4d763af6308ba9f02bdcdaed5597cde1e8d66ef
87,,7.1 Plan de Recursos SGSV ISO39001.docx,ISO39001,ISO39001/Punto 7 - Apoyo/7.1 Plan de Recursos SGSV ISO39001.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,c424d8dcc138e7ae5c384d3f76f6317a456371699a4e824ea3143397dfb6b1e5
88,,7.2 Matriz Competencia SGSV ISO39001.xlsx,ISO39001,ISO39001/Punto 7 - Apoyo/7.2 Matriz Competencia SGSV ISO39001.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,3a45908a1345103c0be4a3048b93b21396f8a727fc37d13e81e1dc724adbd8cb
89,,7.3 Programa de sensibilización interna ISO39001.docx,ISO39001,ISO39001/Punto 7 - Apoyo/7.3 Programa de sensibilización interna ISO39001.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,fa7854227f8132ebfd6bf7b82d00bba3e6ca74daee2de44586a1b693a291f477
90,,7.4 Plan de comunicación.docx,ISO39001,ISO39001/Punto 7 - Apoyo/7.4 Plan de comunicación.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,a96cc7cba461ee912de142e4259e8254227f9a1da339bae66a516859dc286c62
91,FG-052,FG-052 A Formulario_Control_Entrega INSUMOS TALLER.docx,Mantenimiento,Mantenimiento/FG-052 A Formulario_Control_Entrega INSUMOS TALLER.docx,docx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,f2c13a61f9c9701b0c8b3880ac223b7f9743d09570e7830ba191c320377db7a1
92,IMT-001.4,IMT-001.4_Lista_de_maquinas_y_equipos_A(1).xlsx,Mantenimiento,Mantenimiento/IMT-001.4_Lista_de_maquinas_y_equipos_A(1).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,ccf81c1e41c29d017abbacaf4cc61f7f10db9d0f639dc657b011136389e8bf9b
93,IMT-001.5,IMT-001.5_Repuestos_criticos_A(1).xlsx,Mantenimiento,Mantenimiento/IMT-001.5_Repuestos_criticos_A(1).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,d359ebbf09d5a847512c3b42d90e1ff63b2aafce14cc1a84cfd94ee7d19055dc
94,IMT-001,IMT-001_Instructivo_general_de_mantenimiento_G.doc,Mantenimiento,Mantenimiento/IMT-001_Instructivo_general_de_mantenimiento_G.doc,doc,G,H,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,a8286bfa44f934e35af95f9e33b9cef55a8cce4bc23b1b15fc6fa7df4a275176
95,MP-MT-01,MP-MT-01_Mapa_de_procesos.xlsx,Mantenimiento,Mantenimiento/MP-MT-01_Mapa_de_procesos.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,d00ee4d6a6f28dbb49b050734b74089b47187983a8a26734f734606bc2ecdba0
96,PO-23.1,PO-23.1_Actividades_de_Mantenimiento_A(1).xlsx,Mantenimiento,Mantenimiento/PO-23.1_Actividades_de_Mantenimiento_A(1).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,323b294ba34fdd4e8c98c26169d0dcbf7bb361222204174418b1b082131a9ce0
97,PO-23.2,PO-23.2_Plan_de_Mantenimiento_A(1).xlsx,Mantenimiento,Mantenimiento/PO-23.2_Plan_de_Mantenimiento_A(1).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,ac05a67118d98f3fa5c405df44e132a88247de4a79c7f01846c9bc825fbc13e9
98,PO-23.3,PO-23.3_Repuestos_Críticos_A(1).xlsx,Mantenimiento,Mantenimiento/PO-23.3_Repuestos_Críticos_A(1).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,4de9f008a1404344cc481a09117c849a6710752b130cdf5907761fe7ed95b4f2
99,PO-23.4,PO-23.4_TPM_A(1).xlsx,Mantenimiento,Mantenimiento/PO-23.4_TPM_A(1).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,1427e85dd0d31c3866fdbdc9451938bab81dcc2774e9105d1cf30bcf991d77d8
100,PO-23,PO-23_Procedimiento_general_de_mantenimiento_H.doc,Mantenimiento,Mantenimiento/PO-23_Procedimiento_general_de_mantenimiento_H.doc,doc,H,I,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,02c31ac03ac7b18ca76c14e3d02bb513f63c81bae094fba32df20f3bea183ce9
101,PO-25.1,PO-25.1_Flujograma_de_documento_A.docx,Mantenimiento,Mantenimiento/PO-25.1_Flujograma_de_documento_A.docx,docx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,b7b000ddb367f6fc8bf349d15984f8b074ead01b7457afa967adf867c4f9eff2
102,PO-25.1,PO-25.1_Planilla_de_control_de_vehiculos_Industriales_B(1).xlsx,Mantenimiento,Mantenimiento/PO-25.1_Planilla_de_control_de_vehiculos_Industriales_B(1).xlsx,xlsx,B,C,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,f0af835cbf4e8833a9529abedb2906c2b042db33871ecd5fcf72983389354eb7
103,PO-74.1,PO-74.1_Planilla_de_control_de_mantenimiento_A(1).xlsx,Mantenimiento,Mantenimiento/PO-74.1_Planilla_de_control_de_mantenimiento_A(1).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,8fe9423ec2bb75790a6b2d590e3269810b79fb9897f2947cd22239c05b2fbd8d
104,PO-74.3,PO-74.3_Orden_de_Reparacion_A(1).xlsx,Mantenimiento,Mantenimiento/PO-74.3_Orden_de_Reparacion_A(1).xlsx,xlsx,A,B,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,1727936df478e27490e7fba7386757ce1e234a9960270c8ce887a019de0a8fa6
105,PO-74,PO-74_Procedimiento_general_de_mantenimiento_D.doc,Mantenimiento,Mantenimiento/PO-74_Procedimiento_general_de_mantenimiento_D.doc,doc,D,E,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,4a4bee735e0f41193bfeaf7b9aabee14c1d3e8e093ac4605afbb54554a611bbc
106,HP,HP_07 PG DELANTERO PICKING + INSPECCION.xlsx,Paragolpes CBA,Paragolpes CBA/En vigor/HP_07 PG DELANTERO PICKING + INSPECCION.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,0b40e875198a8a700dc87d59fe0b507c5d32956f82a447cc40512c594d03b48f
107,HP,HP_08 PG DELANTERO FRONTAL_1_.xlsx,Paragolpes CBA,Paragolpes CBA/En vigor/HP_08 PG DELANTERO FRONTAL_1_.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,dad23ffcae0fb9b0c6a20fa8230f84c25ee816b78b6a457d0b8349f34023056c
108,HP,HP_09 PG DELANTERO FAROS + AJUSTE_1_.xlsx,Paragolpes CBA,Paragolpes CBA/En vigor/HP_09 PG DELANTERO FAROS + AJUSTE_1_.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,6e7ef68941452dfd411e35ad7d037c220d551a995b1fe23fe40375a380b5e9dc
109,HP,HP_10 PG DELANTERO -REMACHADO_1_ (1).xlsx,Paragolpes CBA,Paragolpes CBA/En vigor/HP_10 PG DELANTERO -REMACHADO_1_ (1).xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,29730ec0faebb67390e353be4a1bcf8b3d3ddc09644df5527561e0f0f6b62f9e
110,HP,HP_PG DELANTERO OP  RETRABAJO_1_.xlsx,Paragolpes CBA,Paragolpes CBA/En vigor/HP_PG DELANTERO OP  RETRABAJO_1_.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,03ef3a4fdd6ccd844cd4c7d8c2020c3bd6cd82db0b5a8276430a6b45e86337ea
111,POLITICA,Politica Seguridad Vial BORRADOR.docx,(raíz),Politica Seguridad Vial BORRADOR.docx,docx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,e7f340cc072b6f03cbd1b59b7b0c9c205c0798175f26690d5a6d867e7d44512a
112,,27042018_Matriz_de_objetivos_Ingeniería_y_Proyectos.xlsx,Proyectos-Procesos,Proyectos-Procesos/En vigor/27042018_Matriz_de_objetivos_Ingeniería_y_Proyectos.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,bc3f850648431e850ec19b2ebd5838e22c60f21364b9b50ca2ed35bd52b64c79
113,DP-1702,DP-1702__Calculo_Costo_de_importacion_Balanceadora_Micropoise_y_Prestamo.xlsx,Proyectos-Procesos,Proyectos-Procesos/En vigor/DP-1702__Calculo_Costo_de_importacion_Balanceadora_Micropoise_y_Prestamo.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,284bd824e48075df54fe2fd3b4b3cf16482f8c5dcba559ec8047f70211608461
114,ING-001,ING-001_Solicitud_de_desviacion_de_ingenieria_I.doc,Proyectos-Procesos,Proyectos-Procesos/En vigor/ING-001_Solicitud_de_desviacion_de_ingenieria_I.doc,doc,I,J,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,373c0638129d36b243e04877a2acfee5c78636d7c871285332e35dca83205cda
115,ING-003,ING-003_Elaboracion_de_la_documentacion_de_ingenieria_H.doc,Proyectos-Procesos,Proyectos-Procesos/En vigor/ING-003_Elaboracion_de_la_documentacion_de_ingenieria_H.doc,doc,H,I,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,052b415496d0a7f43e547a52d9ce045785edc8517f60996711bcfd70f524eab2
116,IPY-001,IPY-001-G-_APQP_Desarrollo_de_Nuevos_Negocios.docx,Proyectos-Procesos,Proyectos-Procesos/En vigor/IPY-001-G-_APQP_Desarrollo_de_Nuevos_Negocios.docx,docx,G,H,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,2d8d0c735beab49eb4584964774dec40679d092898cf228b9f29d69fa1720b88
117,IPY-002,IPY-002-G-_Desarrollo_de_nuevos_proyectos.doc,Proyectos-Procesos,Proyectos-Procesos/En vigor/IPY-002-G-_Desarrollo_de_nuevos_proyectos.doc,doc,G,H,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,0935232f6510411caa42559d09d5fc965756f3e906aa4ca50ea02241f5df5110
118,IPY-003,IPY-003-D-_Implementación_de_Proyectos(1).doc,Proyectos-Procesos,Proyectos-Procesos/En vigor/IPY-003-D-_Implementación_de_Proyectos(1).doc,doc,D,E,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,799f4877bddfbec7d84eeb18e4602541cdf9e7d4fe1e75161718ec7dc9739903
119,IPY-004,IPY-004_CHECK_LIST_DE_VALIDACIÓN_DE_IMPLEMENTACIÓN_DE_PROYECTOS.xlsx,Proyectos-Procesos,Proyectos-Procesos/En vigor/IPY-004_CHECK_LIST_DE_VALIDACIÓN_DE_IMPLEMENTACIÓN_DE_PROYECTOS.xlsx,xlsx,N,O,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,8cde786076974d28e0ebfde88db009fb4615d31e0cf58827233633962bb8b4ad
120,IPY-004,IPY-004_Validación_de_Proyectos.doc,Proyectos-Procesos,Proyectos-Procesos/En vigor/IPY-004_Validación_de_Proyectos.doc,doc,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,becaf01cafc4821f8bac1c31d0a5f5a701ac67c9c4152024162bb2b3fc69ad80
121,MP-PR-01,MP-PR-01_Mapa_de_procesos.xlsx,Proyectos-Procesos,Proyectos-Procesos/En vigor/MP-PR-01_Mapa_de_procesos.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,1fada4f6df90a0ec777c12191b5c5c6d8996f84ef46ec2e6057f70c9a40ae850
122,MP-RH-01,MP-RH-01_Mapa_de_procesos.xlsx,RRHH,RRHH/MP-RH-01_Mapa_de_procesos.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,7b7915d83344bd501883ad6761bc12ed2713358a4f7e0491623967acb54d961a
123,MATRIZ,Matriz de Polivalencia - DADA.xlsx,RRHH,RRHH/Matriz de Polivalencia - DADA.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,16bfb7200ea0bdf6b62b68cff199c67c6f42743a6b392879bcb1444b45d7b718
124,MATRIZ,Matriz de Polivalencia - DADA.xlsx,RRHH,RRHH/POLIVALENCIA/Matriz de Polivalencia - DADA.xlsx,xlsx,,A,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,c3038377ec87ede23d8d84975c781143e66418b9c269bae3114486d4de84bded
125,PROCEDIM,PROCEDIMIENTO EVALUACIÓN DE DESEMPEÑO.doc,RRHH,RRHH/PROCEDIMIENTO EVALUACIÓN DE DESEMPEÑO.doc,doc,O,P,2026-08-19,Actualizado — pendiente de aprobación,"Adecuación de información aplicable a ISO 9001:2015 / IATF 16949, preservando formato original",Dueño de proceso a confirmar,Dirección / Calidad,816156249e2d774ea9afe3a6f314dadb339564714a886884d92176d93e05d6d3
