ID,Código,Título / archivo,Tipo,Departamento / proceso,Ruta relativa,Revisión actual,Revisión objetivo,Estado documental,Aplicabilidad,Cláusulas relacionadas,Responsable,Aprobador,Fecha última revisión,Próxima revisión,Retención,Medio,Observaciones,SHA-256
96,LISTADO,Listado_Maestro_Inst._Compras_E.xls,Planilla Excel legado,Compras DADA,Compras DADA/En Vigor/Listado_Maestro_Inst._Compras_E.xls,E,F,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,55c65912debbc2877a55b34d52959cc95b5e287d9eedef4a0ed21a7e5bb2d133
97,MP-CO-01,MP-CO-01_Mapa_de_procesos.xlsx,Planilla Excel,Compras DADA,Compras DADA/En Vigor/MP-CO-01_Mapa_de_procesos.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,9c494092d4f54bbdf87a7a6f7e812d25e1f7828131d75f68f23d93fdb57a9e6a
98,POLITICA,Politica.Calidad (4).pdf,PDF / evidencia,Compras DADA,Compras DADA/Politica.Calidad (4).pdf,,A,Registro/evidencia — conservar,Sistema KIMI,8.4 / IATF 8.4.1–8.4.3,A definir por dueño de proceso,Dirección / autoridad designada,2022-11-10,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,04fd5c40294b46220e771f4b7733e5a73d6acdb0a328afba451bbea368243293
99,FG-18,FG-18.G_Maestro_de_Documentos_1).xlsx,Planilla Excel,(raíz),FG-18.G_Maestro_de_Documentos_1).xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-17,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,f373e644f2f1ca8987124b3d986535b0d1e3cca5524d30c3423bb76bfebce9cd
100,ISO,ISO_9001_2015(1).pdf,PDF / evidencia,General,General/Auditoria/ISO_9001_2015(1).pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,487a9c3ccefc9f0207242daefaf8a4d319e14f62f76d32193c6a7c5d2d0fe5a8
101,INFORME,Informe_de_Auditoria_Interna_2019-_ultima_2-_CKD.doc,Documento Word legado,General,General/Auditoria/Informe_de_Auditoria_Interna_2019-_ultima_2-_CKD.doc,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,821447034aa29431ed29b1e25294e82526afb84c66111eaf2fb582d603013588
102,INFORME,Informe_de_Auditoria_Interna_2019-_ultima_CKD(1).doc,Documento Word legado,General,General/Auditoria/Informe_de_Auditoria_Interna_2019-_ultima_CKD(1).doc,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,b4ee5fd24dba2ca0b80b36ad35aa81e6b2145f7a7e56fb915bab7b68e492d177
103,INFORME,Informe_de_Auditoria_Interna_2019-_ultima_CKD.doc,Documento Word legado,General,General/Auditoria/Informe_de_Auditoria_Interna_2019-_ultima_CKD.doc,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,b4ee5fd24dba2ca0b80b36ad35aa81e6b2145f7a7e56fb915bab7b68e492d177
104,INFORME,Informe_de_Auditoria_Interna__CKD_Fiat.pdf,PDF / evidencia,General,General/Auditoria/Informe_de_Auditoria_Interna__CKD_Fiat.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,7520c1ce823b8457494f4b2f1444325fc9c9f90e67a0c448311258c547a67d0f
105,PLAN,Plan_de_Acciones_CKD_Auditorias_2019(1).xlsx,Planilla Excel,General,General/Auditoria/Plan_de_Acciones_CKD_Auditorias_2019(1).xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,fe8b1881326119878b670a7402d240b9b198e14cb30f87d20dbb9dff57836e22
106,PLAN,Plan_de_Acciones_CKD_Auditorias_2019.xlsx,Planilla Excel,General,General/Auditoria/Plan_de_Acciones_CKD_Auditorias_2019.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,fe8b1881326119878b670a7402d240b9b198e14cb30f87d20dbb9dff57836e22
107,THUMBS,Thumbs.db,DB,General,General/Auditoria/Thumbs.db,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-06,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,d144339e3499c01592295402f664a5914a2eef2eb831b022ad9b4b0ed2e9df7c
108,CALIFICA,Calificacion_de_auditores_Leonardo_Castillo.pdf,PDF / evidencia,General,General/Certificados/Leonardo Castillo/Calificacion_de_auditores_Leonardo_Castillo.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-09-15,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,ccf5cd758090a53a3b2dd22800384c3346b62620511474539b6c2a6eca145114
109,F-11,F-11_Responsable_Procesos_y_Calidad_operativa_D(1).doc,Documento Word legado,General,General/Certificados/Leonardo Castillo/F-11_Responsable_Procesos_y_Calidad_operativa_D(1).doc,F,G,Vigente — validar contenido y aprobar,Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-09-15,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,25027fcc19daef5f0d60b433551ebddefa7aaf0880c49a6b6ae368f7ed75c4d1
110,FG-10,FG-10_A._Calificacion_de_auditores.pdf,PDF / evidencia,General,General/Certificados/Leonardo Castillo/FG-10_A._Calificacion_de_auditores.pdf,A,B,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-04,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,80e301a9a4e18b64b0cd7dfc48cd7a5b463afe7af45e980bf25b8982782c1e57
111,LEONARDO,LEONARDO_ARIEL_CASTILLO(1).pdf,PDF / evidencia,General,General/Certificados/Leonardo Castillo/LEONARDO_ARIEL_CASTILLO(1).pdf,,A,Registro/evidencia — conservar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-09-15,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,91ecfb78b838421c721f7f70a5595454169262078987713d026ede3f92a896c6
112,LEONARDO,LEONARDO_ARIEL_CASTILLO_(1).pdf,PDF / evidencia,General,General/Certificados/Leonardo Castillo/LEONARDO_ARIEL_CASTILLO_(1).pdf,,A,Registro/evidencia — conservar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-09-15,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,347a62b977cbcc425db725625c63ee0597b7e2f0e66b37b958a6af5620d06b21
113,LEONARDO,LEONARDO_ARIEL_CASTILLO_(2).pdf,PDF / evidencia,General,General/Certificados/Leonardo Castillo/LEONARDO_ARIEL_CASTILLO_(2).pdf,,A,Registro/evidencia — conservar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-09-15,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,64af04e4787efbee7e287398d0e6c809376b257dead4d0bf0d1d2541b97ee55c
114,LEONARDO,LEONARDO_ARIEL_CASTILLO_(3).pdf,PDF / evidencia,General,General/Certificados/Leonardo Castillo/LEONARDO_ARIEL_CASTILLO_(3).pdf,,A,Registro/evidencia — conservar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-09-15,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,64af04e4787efbee7e287398d0e6c809376b257dead4d0bf0d1d2541b97ee55c
115,LEONARDO,Leonardo Ariel Castillo_leonardoarielcastillo@hotmail.com.pdf,PDF / evidencia,General,General/Certificados/Leonardo Castillo/Leonardo Ariel Castillo_leonardoarielcastillo@hotmail.com.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-09-09,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,af219e3cb5a14dd1c144ef1afd6ac73715beeb21156cf9abcfbf9b95a09a1ceb
116,THUMBS,Thumbs.db,DB,General,General/Certificados/Leonardo Castillo/Thumbs.db,,A,Registro/evidencia — conservar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-09-15,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,fe1a5728d1b3cd0e1651a45c3bde00bebb6b8466ce8301974947fce866976b86
117,CERTIFIC,certificate_leonardo-ariel-castillo.pdf,PDF / evidencia,General,General/Certificados/Leonardo Castillo/certificate_leonardo-ariel-castillo.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-09-16,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,ffda20d5571b5631046a6a6d9783afaa3ef97459cb65e2bbca29c9a1daa93ec4
118,CERTIFIC,Certificado_Mercado-2.pdf,PDF / evidencia,General,General/Certificados/Rodrigo Mercado/Certificado_Mercado-2.pdf,,A,Registro/evidencia — conservar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-09-15,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,93af0948f3a7fd5d86f59262f5f17caa093711ed5516b3d56c5055100c1db251
119,FG-10,FG-10_A_Calificacion_de_auditores_Mercado_.pdf,PDF / evidencia,General,General/Certificados/Rodrigo Mercado/FG-10_A_Calificacion_de_auditores_Mercado_.pdf,A,B,Registro/evidencia — conservar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-09-15,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,ee5edb62918a6d6c5140857e13ea6e177d6d00d7cb0e37cb01f9b73c61d7985c
120,THUMBS,Thumbs.db,DB,General,General/Certificados/Rodrigo Mercado/Thumbs.db,,A,Registro/evidencia — conservar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-04,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,6ea5c8355f08901bd49dc5df80288ad9293dcbaaeef54237cf05eb20cabca511
121,COPIA,Copia de DC-FI 331 Tratamiento de OB y NC Rev 03_1_.xlsx,Planilla Excel,General,General/Copia de DC-FI 331 Tratamiento de OB y NC Rev 03_1_.xlsx,Y,Z,Vigente — validar contenido y aprobar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,b8b6ef5ff10c848025545320e7b97e824ce081aecb1d75b7e077b15d2c013352
122,COPIA,Copia_de_04-_Analisis_y_resolución_de_problemas_8D (1).xls,Planilla Excel legado,General,General/Copia_de_04-_Analisis_y_resolución_de_problemas_8D (1).xls,Y,Z,Vigente — validar contenido y aprobar,Sistema KIMI,8.7; 10.2 / IATF 10.2.3–10.2.6,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,8a7d661d71e90d062a656923380e8c0c180ed6ba41456b5ffc27784588e4d73e
123,ANEXO,Anexo_RD-001_A_Minuta_de_reunion.pdf,PDF / evidencia,General,General/Direccion/Anexo_RD-001_A_Minuta_de_reunion.pdf,A,B,Registro/evidencia — conservar,Sistema KIMI,5; 6.2; 9.3 / IATF 5.1.1.1–5.1.1.3; 9.3.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,7b2f8429b564c53da378798fba5946d4a16ec3d49822c8874b5989063caa7970
124,RD-001,RD-001_A_Revision_por_la_Dirección.docx,Documento Word,General,General/Direccion/RD-001_A_Revision_por_la_Dirección.docx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,5; 6.2; 9.3 / IATF 5.1.1.1–5.1.1.3; 9.3.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,e7ef75b220c91e3e164d2ccd8891b782825a7d65d13b983c3edb68fd55595e01
125,RD-001,RD-001_B_Revision_por_la_Dirección(1).docx,Documento Word,General,General/Direccion/RD-001_B_Revision_por_la_Dirección(1).docx,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,5; 6.2; 9.3 / IATF 5.1.1.1–5.1.1.3; 9.3.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,bdd30377966d392c9867682056837991237065bac9f1305328b3462c103739d6
126,RD-001,RD-001_B_Revision_por_la_Dirección(3).docx,Documento Word,General,General/Direccion/RD-001_B_Revision_por_la_Dirección(3).docx,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,5; 6.2; 9.3 / IATF 5.1.1.1–5.1.1.3; 9.3.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,7d00782eb2b6197391686c48ea1c2b9a6e6ee43595083289b7d6e3ded1cfa2aa
127,RD-001,RD-001_C_Revision_por_la_Direccion_RUEDAS_2023.docx,Documento Word,General,General/Direccion/RD-001_C_Revision_por_la_Direccion_RUEDAS_2023.docx,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,5; 6.2; 9.3 / IATF 5.1.1.1–5.1.1.3; 9.3.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,6f41d956849b18a8a583e1c2484b0698a7f1572b9d4fb2f8531fc4eb6306c3a0
128,RD-001,RD-001__Revision_por_la_Direccion_2023.docx,Documento Word,General,General/Direccion/RD-001__Revision_por_la_Direccion_2023.docx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,5; 6.2; 9.3 / IATF 5.1.1.1–5.1.1.3; 9.3.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,255c3a667b44abfdf02ff38b97b7363d34f07d793844a33e9009dd52b1095df4
129,THUMBS,Thumbs.db,DB,General,General/Direccion/Thumbs.db,,A,Registro/evidencia — conservar,Sistema KIMI,5; 6.2; 9.3 / IATF 5.1.1.1–5.1.1.3; 9.3.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-11-04,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,57a21ffbe6c2e875e77b9ab346968bebad5a2e6d516a82892de6033d29f7e4cc
130,ENCUESTA,Encuesta_a_clientes.doc,Documento Word legado,General,General/Encuesta_a_clientes.doc,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,8.2; 9.1.2 / IATF 9.1.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,177059e7b3e139617f2a43e0cda684cf683e0319844b31ef2c1e4001613ec46c
131,FG-01,FG-01. B Foda General 2025 (2).xlsx,Planilla Excel,General,General/Formularios/FG-01. B Foda General 2025 (2).xlsx,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-09-15,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,73b4ef3963e69782540f29466f85d17bcb8d40b12253dd7ed388f3a64ca5f434
132,FG-01,FG-01_B_analisis-foda (1).xls,Planilla Excel legado,General,General/Formularios/FG-01_B_analisis-foda (1).xls,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,11e6ed1cd02064507d4cce53364b723db69117f10a5f29bf46a32e28603018a6
133,FG-01,FG-01_analisis-foda (1).xls,Planilla Excel legado,General,General/Formularios/FG-01_analisis-foda (1).xls,,A,Vigente — validar contenido y aprobar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,1518ecc0dd5cc50de3f6d0d2e7e6c8fd8caf6eeb1276bc7034f818687eb25e74
134,FG-02,FG-02_A._Diagrama_tortuga_recepción.xlsx,Planilla Excel,General,General/Formularios/FG-02_A._Diagrama_tortuga_recepción.xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,f850b48105df66281c1727e695d0079030f5b19c758b2b74790a7a4b50e76ce3
135,FG-03,FG-03_Plan_de_acciones_DADA_(4).xls,Planilla Excel legado,General,General/Formularios/FG-03_Plan_de_acciones_DADA_(4).xls,,A,Vigente — validar contenido y aprobar,Sistema KIMI,8.7; 10.2 / IATF 10.2.3–10.2.6,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,60db467ec0f078e6bc77b5223038821c5236372012b240c9f2e30a84a648312f
136,FG-04,FG-04.G_Maestro_de_Documentos-DADA.xlsx,Planilla Excel,General,General/Formularios/FG-04.G_Maestro_de_Documentos-DADA.xlsx,,A,Vigente — validar contenido y aprobar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,b4a7ca7226d5f9e4baffe898f372332f0f47b23972aae5bd95f22c464d634ceb
137,FG-06,FG-06 B. Matriz_de_objetivos_completada.xlsx,Planilla Excel,General,General/Formularios/FG-06 B. Matriz_de_objetivos_completada.xlsx,B,C,Vigente — validar contenido y aprobar,Sistema KIMI,5; 6.2; 9.3 / IATF 5.1.1.1–5.1.1.3; 9.3.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-23,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,999641974bcc0265f28b751cad2594e5b5a3a231c3402ff1855ba5a3699b742c
138,FG-06,FG-06_A_Matriz_politica_objetivos_con_indicadores(1)(1).xls,Planilla Excel legado,General,General/Formularios/FG-06_A_Matriz_politica_objetivos_con_indicadores(1)(1).xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,5; 6.2; 9.3 / IATF 5.1.1.1–5.1.1.3; 9.3.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,c520bd9fa8c28d215c9ff5c2f61c24ed460c374b073a3a4904be7948c8eb36ce
139,FG-06,FG-06_A_Matriz_politica_objetivos_con_indicadores(1).xls,Planilla Excel legado,General,General/Formularios/FG-06_A_Matriz_politica_objetivos_con_indicadores(1).xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,5; 6.2; 9.3 / IATF 5.1.1.1–5.1.1.3; 9.3.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,65bf17b62a8b9c968a3c7830cbd792b9ea2373d074c4fc75af85e1170cdf620f
140,FG-07,FG-07 C Contexto_y_partes_interesadas_con_organismos.xlsx,Planilla Excel,General,General/Formularios/FG-07 C Contexto_y_partes_interesadas_con_organismos.xlsx,C,D,Vigente — validar contenido y aprobar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-10-22,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,fcc665b0603217e66762b72533a477b0a59206eab37a916aac1114fc3c8d1bfe
141,FG-10,FG-10_A._Calificacion_de_auditores.xlsx,Planilla Excel,General,General/Formularios/FG-10_A._Calificacion_de_auditores.xlsx,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,722e90b1e7659cd938e503ed2136063d07d80fce45fbee5c433057751375b373
142,FORMATO,Formato_03_SL_VDA_6_(Autoguardado).xlsm,Planilla Excel con macros,General,General/Formularios/Formato_03_SL_VDA_6_(Autoguardado).xlsm,,A,Vigente — validar contenido y aprobar,Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,3f28af6259c3b1436d1cbf1873a14aadc274411559f247989b161346fe416092
143,FORMULAR,Formulario_de_satisfaccion_de_cliente_A.xls,Planilla Excel legado,General,General/Formularios/Formulario_de_satisfaccion_de_cliente_A.xls,A,B,Vigente — validar contenido y aprobar,Sistema KIMI,8.2; 9.1.2 / IATF 9.1.2.1,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,2027-08-19,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Pendiente de aprobación organizacional,fdb7c69ccda4bebd849eae2262711d5d56d5f9b6c544cf378f733318d2d5349b
144,FCKD-08,FCKD-08.G_Maestro_de_Documentos_CKD-VW-DADA(1).xlsx,Planilla Excel,General,General/Formularios/Obsoleto/FCKD-08.G_Maestro_de_Documentos_CKD-VW-DADA(1).xlsx,,A,"Obsoleto — conservar, no usar",Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,No aplica,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Bloqueado para uso operativo,6173eec6a01384f587a0766486ce8cc99497d2ae90288b1d74da5be5373abbc3
145,FCKD-08,FCKD-08.G_Maestro_de_Documentos_CKD-VW-DADA.xlsx,Planilla Excel,General,General/Formularios/Obsoleto/FCKD-08.G_Maestro_de_Documentos_CKD-VW-DADA.xlsx,,A,"Obsoleto — conservar, no usar",Sistema KIMI,4.4; 8.1; 8.5 / IATF 8.5.1.1–8.5.1.7,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,No aplica,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Bloqueado para uso operativo,e9bf4c41cdc43f773695cc1f5702df77b6fb22cd3c9166bdb14d430e4626756f
146,FG-01,FG-01. B Foda General 2025.xlsx,Planilla Excel,General,General/Formularios/Obsoleto/FG-01. B Foda General 2025.xlsx,B,B,"Obsoleto — conservar, no usar",Sistema KIMI,7.5 — Información documentada,A definir por dueño de proceso,Dirección / autoridad designada,2025-09-15,No aplica,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Bloqueado para uso operativo,73b4ef3963e69782540f29466f85d17bcb8d40b12253dd7ed388f3a64ca5f434
147,FG-05,FG-05_Plan_anual_de_Auditoria_2018_DADA(2).xlsx,Planilla Excel,General,General/Formularios/Obsoleto/FG-05_Plan_anual_de_Auditoria_2018_DADA(2).xlsx,,A,"Obsoleto — conservar, no usar",Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,No aplica,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Bloqueado para uso operativo,54d3fd5a2848c790032a3f5b959d3bab060fc41da9864b2d11e0cd69cca0b734
148,FG-05,FG-05_Plan_anual_de_Auditoria_2019_ISO.xlsx,Planilla Excel,General,General/Formularios/Obsoleto/FG-05_Plan_anual_de_Auditoria_2019_ISO.xlsx,,A,"Obsoleto — conservar, no usar",Sistema KIMI,9.2 / IATF 9.2.2.1–9.2.2.4,A definir por dueño de proceso,Dirección / autoridad designada,2025-08-05,No aplica,Según requisito legal/cliente; mínimo 3 años si no se define otro plazo,Digital,Bloqueado para uso operativo,5f4abf8cc6876e02ed95d87c2e4a7db0c892621ef4a9168172dc79f3129008cf
